b	不
c	出
d	的
f	发
g	个
h	和
j	就
k	可
l	了
m	没
n	你
p	平
q	去
r	人
s	是
t	他
v	而
w	我
x	下
y	一
z	在
ba	边
be	把
bi	别
bo	部
bu	白
ca	除
ce	成
ci	此
co	次
cu	从
da	对
de	大
di	当
do	道
du	得
fa	飞
fe	夫
fi	非
fo	方
fu	分
ga	给
ge	过
gi	国
go	高
gu	公
ha	好
he	还
hi	回
ho	话
hu	会
ja	经
je	进
ji	见
jo	家
ju	几
ka	孔
ke	开
ki	口
ko	快
ku	看
la	力
le	来
li	里
lo	立
lu	利
ma	民
me	面
mi	明
mo	门
mu	名
na	那
ne	南
ni	内
no	农
nu	年
pa	皮
pe	破
pi	品
po	怕
pu	片
qa	强
qe	起
qi	且
qo	前
qu	全
ra	如
re	若
ri	日
ro	让
ru	然
sa	双
se	事
si	上
so	说
su	手
ta	她
te	天
ti	同
to	头
tu	体
va	阿
ve	二
vi	暗
vo	安
vu	儿
wa	维
we	无
wi	晚
wo	为
wu	外
xa	线
xe	想
xi	小
xo	心
xu	笑
ya	也
ye	有
yi	眼
yo	意
yu	用
za	子
ze	正
zi	中
zo	着
zu	自
bb	并不
bc	不错
bd	不断
bf	办法
bg	罢工
bh	保护
bj	北京
bk	不肯
bl	本来
bm	罢免
bn	半年
bp	被迫
bq	表情
br	必然
bs	表示
bt	半天
bv	备案
bw	把握
bx	必须
by	不要
bz	不住
cb	出版
cc	常常
cd	程度
cf	充分
cg	成功
ch	窗户
cj	参加
ck	此刻
cl	处理
cm	充满
cn	才能
cp	产品
cq	采取
cr	承认
cs	此时
ct	传统
cv	长安
cw	从未
cx	出现
cy	产业
cz	存在
db	代表
dc	调查
dd	得到
df	地方
dg	大哥
dh	电话
dj	多久
dk	打开
dl	带来
dm	多么
dn	多年
dp	大批
dq	地区
dr	敌人
ds	但是
dt	点头
dv	第二
dw	单位
dx	东西
dy	第一
dz	弟子
fb	发表
fc	非常
fd	反对
ff	方法
fg	法国
fh	发挥
fj	房间
fk	放开
fl	法律
fm	父母
fn	妇女
fp	分配
fq	父亲
fr	妇人
fs	发生
ft	发帖
fv	反而
fw	服务
fx	发现
fy	反应
fz	发展
gb	根本
gc	工程
gd	感到
gf	功夫
gg	改革
gh	规划
gj	国际
gk	赶快
gl	管理
gm	革命
gn	姑娘
gp	股票
gq	感情
gr	果然
gs	告诉
gt	共同
gv	关爱
gw	各位
gx	关系
gy	关于
gz	工作
hb	毫不
hc	何处
hd	活动
hf	恢复
hg	回归
hh	缓缓
hj	环境
hk	很快
hl	后来
hm	后面
hn	河南
hp	害怕
hq	好奇
hr	忽然
hs	和尚
ht	会谈
hv	黑暗
hw	毫无
hx	或许
hy	会议
hz	孩子
jb	基本
jc	基础
jd	觉得
jf	解放
jg	结果
jh	几乎
jj	经济
jk	加快
jl	建立
jm	急忙
jn	今年
jp	金牌
jq	加强
jr	进入
js	建设
jt	今天
jv	骄傲
jw	极为
jx	进行
jy	教育
jz	记者
kb	恐怖
kc	考察
kd	看到
kf	开放
kg	客观
kh	客户
kj	科技
kk	可靠
kl	考虑
km	昆明
kn	可能
kp	恐怕
kq	口气
kr	客人
ks	开始
kt	客厅
kv	可爱
kw	渴望
kx	科学
ky	可以
kz	控制
lb	老板
lc	露出
ld	领导
lf	浪费
lg	两国
lh	厉害
lj	立即
lk	离开
ll	理论
lm	连忙
ln	理念
lp	老婆
lq	离去
lr	老人
ls	历史
lt	老头
lv	两岸
lw	另外
lx	冷笑
ly	领域
lz	老者
mb	目标
mc	名称
md	目的
mf	麻烦
mg	美国
mh	模糊
mj	面积
mk	模块
ml	美丽
mm	慢慢
mn	美女
mp	门派
mq	目前
mr	美人
ms	马上
mt	眉头
mv	名额
mw	美味
mx	模型
my	美元
mz	名字
nb	宁波
nc	农村
nd	难道
nf	能否
ng	能够
nh	女孩
nj	年纪
nk	难看
nl	努力
nm	你们
nn	男女
np	哪怕
nq	年轻
nr	女人
ns	那时
nt	念头
nv	女儿
nw	那位
nx	那些
ny	那样
nz	女子
pb	旁边
pc	平常
pd	判断
pf	佩服
pg	屁股
ph	破坏
pj	平静
pk	片刻
pl	漂亮
pm	拼命
pn	陪你
pp	偏偏
pq	脾气
pr	仆人
ps	平时
pt	普通
pv	配偶
pw	颇为
px	培训
py	朋友
pz	批准
qb	确保
qc	清楚
qd	取得
qf	气氛
qg	奇怪
qh	前后
qj	期间
qk	情况
ql	强烈
qm	签名
qn	青年
qp	强迫
qq	轻轻
qr	情人
qs	其实
qt	其他
qv	请按
qw	千万
qx	情形
qy	企业
qz	其中
rb	日本
rc	人才
rd	认得
rf	乳房
rg	如果
rh	如何
rj	如今
rk	认可
rl	人类
rm	人们
rn	热闹
rp	软盘
rq	热情
rr	仍然
rs	认识
rt	认同
rv	热爱
rw	认为
rx	热线
ry	人员
rz	认真
sb	身边
sc	市场
sd	似的
sf	十分
sg	送给
sh	时候
sj	时间
sk	时刻
sl	顺利
sm	什么
sn	少女
sp	水平
sq	事情
sr	虽然
ss	身上
st	身体
sv	是啊
sw	所谓
sx	实现
sy	所以
sz	身子
tb	特别
tc	提出
td	听到
tf	突发
tg	通过
th	谈话
tj	条件
tk	痛苦
tl	讨论
tm	他们
tn	头脑
tp	谈判
tq	提起
tr	突然
ts	同时
tt	太太
tv	图案
tw	台湾
tx	体系
ty	统一
tz	同志
vb	耳边
vc	暗藏
vd	耳朵
vf	案犯
vg	爱国
vh	而后
vj	案件
vk	安康
vl	案例
vm	澳门
vn	儿女
vp	安排
vq	爱情
vr	爱人
vs	昂首
vt	儿童
vv	偶尔
vw	安危
vx	恶心
vy	而已
vz	按照
wb	无比
wc	完成
wd	问道
wf	无法
wg	无关
wh	文化
wj	文件
wk	网卡
wl	网络
wm	我们
wn	无奈
wp	无派
wq	完全
wr	温柔
ws	完善
wt	问题
wv	我爱
ww	微微
wx	微笑
wy	唯一
wz	位置
xb	宣布
xc	形成
xd	许多
xf	幸福
xg	香港
xh	喜欢
xj	小姐
xk	胸口
xl	训练
xm	项目
xn	性能
xp	芯片
xq	心情
xr	显然
xs	先生
xt	系统
xv	喜爱
xw	希望
xx	相信
xy	需要
xz	现在
yb	一般
yc	因此
yd	一定
yf	衣服
yg	应该
yh	以后
yj	已经
yk	一块
yl	原来
ym	以免
yn	云南
yp	一旁
yq	一切
yr	依然
ys	于是
yt	摇头
yv	因而
yw	因为
yx	一些
yy	一样
yz	一直
zb	准备
zc	支持
zd	知道
zf	政府
zg	这个
zh	之后
zj	自己
zk	召开
zl	这里
zm	怎么
zn	只能
zp	只怕
zq	之前
zr	众人
zs	只是
zt	总统
zv	这儿
zw	作为
zx	这些
zy	这样
zz	组织
