b	不
c	出
d	的
f	发
g	个
h	和
j	就
k	可
l	了
m	没
n	你
p	平
q	去
r	人
s	是
t	他
v	而
w	我
x	下
y	一
z	在
ba	边
be	把
bi	别
bo	部
bu	白
ca	除
ce	成
ci	此
co	次
cu	从
da	对
de	大
di	当
do	道
du	得
fa	飞
fe	夫
fi	非
fo	方
fu	分
ga	给
ge	过
gi	国
go	高
gu	公
ha	好
he	还
hi	回
ho	话
hu	会
ja	经
je	进
ji	见
jo	家
ju	几
ka	孔
ke	开
ki	口
ko	快
ku	看
la	力
le	来
li	里
lo	立
lu	利
ma	民
me	面
mi	明
mo	门
mu	名
na	那
ne	南
ni	内
no	农
nu	年
pa	皮
pe	破
pi	品
po	怕
pu	片
qa	强
qe	起
qi	且
qo	前
qu	全
ra	如
re	若
ri	日
ro	让
ru	然
sa	双
se	事
si	上
so	说
su	手
ta	她
te	天
ti	同
to	头
tu	体
va	阿
ve	二
vi	暗
vo	安
vu	儿
wa	维
we	无
wi	晚
wo	为
wu	外
xa	线
xe	想
xi	小
xo	心
xu	笑
ya	也
ye	有
yi	眼
yo	意
yu	用
za	子
ze	正
zi	中
zo	着
zu	自
my	没有
wm	我们
tm	他们
sm	什么
zj	自己
zd	知道
ky	可以
zg	这个
ql	起来
zy	这样
yj	已经
fz	发展
yw	因为
xz	现在
zm	怎么
nm	你们
gz	工作
wt	问题
jj	经济
hs	还是
cl	出来
rg	如果
zs	只是
bg	不过
zx	这些
gj	国家
qy	企业
sh	时候
sy	所以
sd	说道
yd	一定
zl	这里
bb	并不
rc	如此
hy	还有
gx	关系
jx	进行
kn	可能
ys	也是
ds	但是
vq	而且
jt	今天
df	地方
jd	觉得
js	建设
sj	时间
sr	虽然
yy	一样
ng	那个
dh	的话
gn	姑娘
dy	第一
wl	为了
nr	女人
yx	一些
rh	如何
tr	突然
zh	之后
gs	告诉
jz	记者
by	不要
sc	市场
ks	开始
kd	看到
vr	爱人
qg	全国
ts	同时
gq	过去
dx	东西
zf	政府
xt	系统
dr	当然
fx	发现
xl	下来
xw	希望
hz	孩子
yq	一切
yz	一直
ss	身上
rw	认为
rm	人民
sf	十分
xs	先生
hl	回来
gl	管理
yl	原来
bx	必须
bz	不住
nx	那些
bs	表示
yg	应该
wf	无法
hr	忽然
xd	许多
qk	情况
xy	需要
mb	明白
yc	因此
gg	改革
sq	事情
xx	相信
dd	得到
py	朋友
xh	喜欢
gd	感到
dv	第二
bj	北京
cx	出现
wq	完全
tg	通过
kj	看见
wg	我国
fs	发生
lk	离开
mg	美国
qz	其中
dj	大家
fm	方面
ld	领导
zz	正在
sx	实现
bt	不同
hd	活动
cw	成为
gb	根本
yb	一般
tb	特别
fw	服务
jy	教育
wd	问道
fc	非常
ff	方法
fq	父亲
fr	夫人
yh	以后
tc	提出
mq	目前
nl	那里
jh	几乎
ym	一面
db	代表
br	别人
wh	文化
qt	其他
qc	清楚
sz	身子
bm	部门
xj	小姐
jq	加强
td	听到
lr	老人
nd	难道
zw	作为
jl	建立
zr	自然
jg	结果
jn	今年
hj	环境
ry	人员
rj	人家
bc	不错
nz	女子
kk	看看
qs	其实
ls	历史
bd	不得
lj	立即
rs	认识
gc	工程
rv	然而
dq	地区
cj	参加
nv	女儿
tz	同志
kl	看来
zc	支持
zb	准备
hq	回去
kf	开发
ny	那样
tj	条件
ly	利用
kq	口气
jc	基础
dt	点头
cs	此时
xg	香港
rr	仍然
xq	想起
cp	产品
sb	身边
tx	天下
wx	微笑
jr	进入
vz	儿子
cz	存在
cn	才能
ww	微微
lg	两国
gr	果然
ll	理论
qn	去年
yf	衣服
qq	轻轻
kz	控制
zn	只能
ms	马上
jb	基本
zv	这儿
dw	单位
kx	科学
zq	之前
qd	取得
cg	成功
mz	名字
rb	日本
bh	保护
lx	冷笑
wc	完成
hh	缓缓
sn	少女
ck	此刻
gy	关于
st	身体
xm	项目
bq	表情
nc	农村
bk	不肯
qm	前面
bf	办法
fl	法律
dg	大哥
sp	水平
xc	形成
qb	全部
ws	晚上
tk	痛苦
yt	摇头
bl	本来
gt	共同
hm	后面
lc	露出
lm	里面
fj	房间
dz	弟子
nq	年轻
fb	分别
rz	日子
zt	总统
vy	而已
vw	安危
lh	厉害
hf	恢复
cm	充满
xr	显然
lw	另外
cq	采取
md	目的
mm	慢慢
fh	发挥
sl	上来
yk	一块
vb	耳边
ht	回头
mt	明天
dk	打开
kc	看出
kp	恐怕
wy	唯一
ty	统一
ct	传统
fv	反而
hw	毫无
hk	很快
tw	台湾
cy	产业
ml	美丽
gf	功夫
dl	带来
mk	门口
mx	模型
tt	太太
cf	充分
zp	只怕
dc	调查
nh	女孩
dn	多年
tl	讨论
qx	情形
fy	反应
ns	那时
wr	温柔
lz	来自
yr	依然
rl	人类
hb	好不
cr	承认
wj	文件
nj	年纪
fg	法国
tf	头发
mf	麻烦
bp	不怕
kr	客人
hp	害怕
pl	漂亮
dm	多么
xf	幸福
yp	一旁
hx	或许
pb	旁边
jk	加快
vp	安排
gm	革命
fd	反对
sw	所谓
cb	出版
pk	片刻
qj	期间
cd	程度
bv	不安
xb	宣布
wz	位置
rk	人口
jm	见面
fn	妇女
pj	平静
zk	召开
wb	无比
vm	澳门
nb	那边
kv	可爱
hv	黑暗
cc	常常
nn	男女
qw	千万
lq	离去
rq	热情
rd	人大
lb	老板
th	谈话
cv	从而
wn	无奈
sk	时刻
pt	普通
yv	因而
jw	极为
lt	老头
gk	公开
vc	暗藏
tq	提起
vv	暗暗
ph	破坏
mc	名称
mj	面积
bw	把握
gh	规划
fk	放开
vt	儿童
qf	气氛
tp	谈判
nt	念头
vj	案件
vd	耳朵
rn	热闹
hc	何处
mr	美人
gw	各位
vx	恶心
pq	脾气
xk	胸口
px	培训
fp	分配
pz	批准
pm	拼命
lv	两岸
lp	老婆
rt	如同
rx	人心
kt	客厅
mh	模糊
pp	偏偏
sg	送给
pc	平常
jf	解放
kb	恐怖
gv	公安
pr	平日
hg	回归
vs	昂首
gp	公平
ps	平时
xn	性能
qr	情人
pf	佩服
kh	客户
pd	判断
dp	大批
km	开门
qh	前后
kw	渴望
lf	浪费
mn	美女
tn	头脑
nf	能否
jv	骄傲
jp	金牌
rf	若非
bn	半年
nk	难看
ch	窗户
pw	颇为
vh	而后
vn	儿女
xv	喜爱
pv	平安
pg	屁股
kg	客观
hn	河南
qp	强迫
vf	案犯
ft	发帖
mp	门派
yn	一年
wk	我看
wp	无派
ln	理念
vl	而来
xp	芯片
wv	我爱
sv	是啊
nw	那位
mw	门外
tv	图案
np	哪怕
vg	而过
pn	陪你
qv	请按
mv	名额
rp	人品
vk	安康
