b	不
c	出
d	的
f	发
g	个
h	和
j	就
k	可
l	了
m	没
n	你
p	平
q	去
r	人
s	是
t	他
v	而
w	我
x	下
y	一
z	在
be	百
fe	扶
fi	咐
gi	归
hi	虎
ja	际
je	极
jo	觉
ki	咳
pe	拍
qa	驱
qe	青
qo	请
ra	刃
vi	岸
vu	饿
we	武
wi	味
xa	险
xe	项
xo	兴
ba	吧
bb	宾
bc	报
bd	白
bf	本
bg	崩
bh	帮
bi	比
bj	办
bk	并
bm	便
bn	表
bo	波
bp	别
bu	部
bw	被
ca	查
cc	草
cd	才
ce	车
cf	沉
cg	成
ch	长
ci	此
cj	产
ck	揣
cl	创
co	错
cr	传
cs	从
cu	处
cv	吹
cy	村
cz	仇
da	大
dc	道
dd	带
de	得
df	扥
dg	等
dh	当
di	地
dj	但
dk	定
dm	点
dn	调
do	多
dp	爹
dq	丢
dr	断
ds	动
du	都
dv	对
dw	得
dx	嗲
dy	顿
dz	都
fa	法
ff	分
fg	风
fh	方
fj	反
fo	佛
fu	夫
fw	非
fz	否
ga	嘎
gc	高
gd	该
ge	各
gf	跟
gg	更
gh	刚
gj	感
gk	怪
gl	光
go	国
gr	关
gs	公
gu	姑
gv	规
gw	给
gx	挂
gy	滚
gz	够
ha	哈
hc	好
hd	还
he	何
hf	很
hg	横
hh	行
hj	汉
hk	怀
hl	黄
ho	活
hr	欢
hs	红
hu	乎
hv	会
hw	黑
hx	话
hy	婚
hz	后
jb	进
ji	己
jk	经
jl	将
jm	见
jn	叫
jp	接
jq	九
jr	卷
js	炯
jt	决
ju	据
jx	家
jy	军
ka	卡
kc	考
kd	开
ke	科
kf	肯
kg	坑
kh	康
kj	看
kk	快
kl	况
ko	扩
kr	款
ks	空
ku	苦
kv	亏
kx	跨
ky	困
kz	口
la	拉
lb	林
lc	老
ld	来
le	乐
lg	冷
lh	浪
li	里
lj	兰
lk	领
ll	两
lm	连
ln	料
lo	落
lp	烈
lq	流
lr	乱
ls	龙
lt	略
lu	路
lv	律
lw	类
lx	俩
ly	论
lz	楼
ma	吗
mb	民
mc	毛
md	买
me	么
mf	们
mg	梦
mh	忙
mi	密
mj	满
mk	明
mm	面
mn	妙
mo	模
mp	灭
mq	缪
mu	目
mv	呒
mw	美
mz	某
na	那
nb	您
nc	脑
nd	乃
ne	呢
nf	嫩
ng	能
nh	囊
ni	尼
nj	难
nk	宁
nl	娘
nm	年
nn	鸟
no	诺
np	聂
nq	牛
nr	暖
ns	农
nt	虐
nu	怒
nv	女
nw	内
nz	耨
pa	怕
pb	品
pc	跑
pd	派
pf	喷
pg	朋
ph	旁
pi	皮
pj	盘
pk	评
pm	片
pn	飘
po	破
pp	瞥
pu	普
pw	配
pz	剖
qb	亲
qi	起
qk	情
ql	强
qm	前
qn	瞧
qp	且
qq	求
qr	全
qs	穷
qt	却
qu	区
qx	恰
qy	群
rc	绕
re	热
rf	任
rg	仍
rh	让
ri	日
rj	然
ro	若
rr	软
rs	容
ru	如
rv	瑞
ry	润
rz	柔
sa	杀
sc	少
sd	赛
se	色
sf	身
sg	生
sh	上
si	时
sj	三
sk	摔
sl	双
so	说
sr	算
ss	送
su	数
sv	水
sw	谁
sx	刷
sy	孙
sz	手
ta	她
tc	逃
td	太
te	特
tg	腾
th	堂
ti	体
tj	谈
tk	听
tm	天
tn	条
to	脱
tp	铁
tr	团
ts	同
tu	突
tv	推
tw	忒
ty	吞
tz	头
va	啊
vc	奥
vd	爱
ve	恶
vf	嗯
vh	昂
vj	安
vo	哦
vr	儿
vv	嗯
vw	诶
vz	欧
wa	瓦
wd	外
wf	问
wg	翁
wh	望
wj	万
wo	握
wu	无
ww	为
xb	心
xi	西
xk	行
xl	想
xm	现
xn	小
xp	些
xq	修
xr	选
xs	兄
xt	学
xu	许
xx	夏
xy	寻
ya	亚
yb	因
yc	要
ye	也
yh	样
yi	以
yj	眼
yk	应
yo	哟
yr	原
ys	用
yt	月
yu	于
yy	云
yz	有
za	咱
zc	找
zd	再
ze	着
zf	真
zg	正
zh	张
zi	子
zj	展
zk	拽
zl	装
zo	作
zr	转
zs	中
zu	主
zv	最
zw	这
zx	抓
zy	准
zz	走
