b	不
c	出
d	的
f	发
g	个
h	和
j	就
k	可
l	了
m	没
n	你
p	平
q	去
r	人
s	是
t	他
v	而
w	我
x	下
y	一
z	在
be	百
fe	扶
fi	咐
gi	归
hi	虎
ja	际
je	极
jo	觉
ki	咳
pe	拍
qa	驱
qe	青
qo	请
ra	刃
vi	岸
vu	饿
we	武
wi	味
xa	险
xe	项
xo	兴
ba	吧
bc	表
bf	本
bg	崩
bh	帮
bi	比
bj	办
bk	报
bl	白
bm	便
bn	宾
bo	波
bu	部
bx	别
by	并
bz	被
ca	查
cb	仇
cd	创
ce	车
cf	沉
cg	成
ch	长
ci	此
cj	产
ck	草
cl	才
co	错
cp	村
cr	传
cs	从
cu	处
cv	吹
cy	揣
da	大
db	都
dc	调
de	得
df	扥
dg	等
dh	当
di	地
dj	但
dk	道
dl	带
dm	点
do	多
dp	顿
dq	丢
dr	断
ds	动
du	都
dv	对
dw	嗲
dx	爹
dy	定
dz	得
fa	法
fb	否
ff	分
fg	风
fh	方
fj	反
fo	佛
fu	夫
fz	非
ga	嘎
gb	够
gd	光
ge	各
gf	跟
gg	更
gh	刚
gj	感
gk	高
gl	该
go	国
gp	滚
gr	关
gs	公
gu	姑
gv	规
gw	挂
gy	怪
gz	给
ha	哈
hb	后
hd	黄
he	何
hf	很
hg	横
hh	行
hj	汉
hk	好
hl	还
ho	活
hp	婚
hr	欢
hs	红
hu	乎
hv	会
hw	话
hy	怀
hz	黑
jc	叫
jd	将
ji	己
jm	见
jn	进
jp	军
jq	九
jr	卷
js	炯
jt	决
ju	据
jw	家
jx	接
jy	经
ka	卡
kb	口
kd	况
ke	科
kf	肯
kg	坑
kh	康
kj	看
kk	考
kl	开
ko	扩
kp	困
kr	款
ks	空
ku	苦
kv	亏
kw	跨
ky	快
la	拉
lb	楼
lc	料
ld	两
le	乐
lg	冷
lh	浪
li	里
lj	兰
lk	老
ll	来
lm	连
ln	林
lo	落
lp	论
lq	流
lr	乱
ls	龙
lt	略
lu	路
lv	律
lw	俩
lx	烈
ly	领
lz	类
ma	吗
mb	某
mc	妙
me	么
mf	们
mg	梦
mh	忙
mi	密
mj	满
mk	毛
ml	买
mm	面
mn	民
mo	模
mq	缪
mu	目
mv	呒
mx	灭
my	明
mz	美
na	那
nb	耨
nc	鸟
nd	娘
ne	呢
nf	嫩
ng	能
nh	囊
ni	尼
nj	难
nk	脑
nl	乃
nm	年
nn	您
no	诺
nq	牛
nr	暖
ns	农
nt	虐
nu	怒
nv	女
nx	聂
ny	宁
nz	内
pa	怕
pb	剖
pc	飘
pf	喷
pg	朋
ph	旁
pi	皮
pj	盘
pk	跑
pl	派
pm	片
pn	品
po	破
pu	普
px	瞥
py	评
pz	配
qc	瞧
qd	强
qi	起
qm	前
qn	亲
qp	群
qq	求
qr	全
qs	穷
qt	却
qu	区
qw	恰
qx	且
qy	情
rb	柔
re	热
rf	任
rg	仍
rh	让
ri	日
rj	然
rk	绕
ro	若
rp	润
rr	软
rs	容
ru	如
rv	瑞
sa	杀
sb	手
sd	双
se	色
sf	身
sg	生
sh	上
si	时
sj	三
sk	少
sl	赛
so	说
sp	孙
sr	算
ss	送
su	数
sv	水
sw	刷
sy	摔
sz	谁
ta	她
tb	头
tc	条
te	特
tg	腾
th	堂
ti	体
tj	谈
tk	逃
tl	太
tm	天
to	脱
tp	吞
tr	团
ts	同
tu	突
tv	推
tx	铁
ty	听
tz	忒
va	啊
vb	欧
ve	恶
vf	嗯
vh	昂
vj	安
vk	奥
vl	爱
vo	哦
vr	儿
vv	嗯
vz	诶
wa	瓦
wf	问
wg	翁
wh	望
wj	万
wl	外
wo	握
wu	无
wz	为
xc	小
xd	想
xi	西
xm	现
xn	心
xp	寻
xq	修
xr	选
xs	兄
xt	学
xu	许
xw	夏
xx	些
xy	行
ya	亚
yb	有
ye	也
yh	样
yi	以
yj	眼
yk	要
yn	因
yo	哟
yp	云
yr	原
ys	用
yt	月
yu	于
yy	应
za	咱
zb	走
zd	装
ze	着
zf	真
zg	正
zh	张
zi	子
zj	展
zk	找
zl	再
zo	作
zp	准
zr	转
zs	中
zu	主
zv	最
zw	抓
zy	拽
zz	这
